trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,noise_sigma_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time,preinsert_pose_error,path_length,smoothness,max_joint_vel,max_joint_accel,solve_time,initial_contact_force,pose_estimation_error,effective_offset
484,4,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,11.286,42.3531,9.0337,2,2,0.003907,3.8915,0.004318,0.313553,11.2403,1.1913,304.7627,0.0,1.9358,0.006442,0.006442
485,5,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,13.66,44.4898,11.591,7,7,0.004479,4.3422,0.004649,0.315022,11.1723,1.1884,307.06,0.0,1.935,0.007739,0.007739
486,6,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,11.822,40.676,6.2719,3,3,0.004057,3.9229,0.004273,0.314805,11.4363,1.1916,300.1568,0.0,2.1089,0.006641,0.006641
487,7,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,10.324,32.1831,7.0416,0,0,0.004097,3.6542,0.004578,0.313542,11.151,1.1908,307.8818,0.0,1.6596,0.005414,0.005414
488,8,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,13.126,61.707,10.6115,6,6,0.004882,4.2745,0.004385,0.31541,11.6325,1.3027,320.9122,0.0,1.9918,0.007432,0.007432
489,9,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,10.268,26.25,6.277,0,0,0.004006,3.6351,0.004863,0.310791,11.2018,1.1915,313.7179,0.0,1.7033,0.005702,0.005702
490,10,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,10.346,39.2228,7.5934,0,0,0.004204,3.6914,0.004366,0.313499,11.3854,1.1872,312.7277,0.0,1.8859,0.005659,0.005659
491,11,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,10.346,32.2564,16.7125,0,0,0.004292,3.7103,0.004243,0.314794,11.1781,1.1921,315.6837,0.0,1.5665,0.004439,0.004439
492,12,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,13.12,55.9907,9.7708,6,6,0.004457,4.1971,0.004648,0.313694,11.2076,1.1895,306.1722,0.0,2.0044,0.007016,0.007016
493,13,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,13.188,44.6541,7.1444,6,6,0.004683,4.0924,0.004772,0.313837,11.2767,1.1931,316.4422,0.0,1.6776,0.006604,0.006604
494,14,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,10.388,38.7664,6.9216,0,0,0.004843,4.1194,0.004395,0.316284,11.3418,1.1904,310.5765,0.0,1.7485,0.005831,0.005831
495,15,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,13.544,43.7262,12.6603,7,7,0.004354,4.2244,0.004615,0.315139,11.1869,1.1903,304.6077,0.0,1.6511,0.008145,0.008145
496,16,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,10.354,36.342,7.7485,0,0,0.004096,3.9737,0.004653,0.31361,11.1267,1.194,315.8646,0.0,1.6141,0.005376,0.005376
497,17,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,11.286,41.0052,8.0833,2,2,0.004124,4.0079,0.003895,0.312056,11.4982,1.191,311.926,0.0,1.5992,0.006436,0.006436
498,18,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,0,force_abort_max_recovery,8.376,64.6677,20.8002,11,10,0.009828,1.0063,0.004544,0.313605,11.1565,1.1912,310.7096,0.0,1.5941,0.008946,0.008946
499,19,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,13.152,45.3646,14.4491,6,6,0.004174,4.0077,0.004927,0.312332,11.1353,1.1909,312.033,0.0,1.9586,0.006506,0.006506
500,20,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,13.07,58.0627,9.4303,6,6,0.004453,4.1934,0.004709,0.313594,11.1737,1.1869,312.5749,0.0,1.653,0.006931,0.006931
501,21,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,13.132,44.086,8.5415,6,6,0.004738,4.4572,0.004923,0.313719,11.128,1.1926,304.5658,0.0,2.1235,0.006888,0.006888
502,22,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,10.246,27.3198,7.0103,0,0,0.003482,3.8503,0.004329,0.313587,11.3913,1.1905,308.7282,0.0,1.5275,0.005457,0.005457
503,23,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,13.158,57.5157,9.113,6,6,0.00464,4.6585,0.004182,0.31485,11.2464,1.1898,306.3097,0.0,1.8667,0.006855,0.006855
504,24,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,10.282,30.6795,4.7197,0,0,0.004043,3.8347,0.004814,0.312328,11.1457,1.1937,314.0444,0.0,1.5435,0.004956,0.004956
505,25,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,13.122,47.5473,10.3986,6,6,0.004429,4.4789,0.003782,0.314802,11.2757,1.1897,306.4141,0.0,1.6477,0.007948,0.007948
506,26,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,11.824,41.2049,7.5294,3,3,0.004042,4.1524,0.00466,0.313688,11.2421,1.1891,308.2911,0.0,1.6179,0.006909,0.006909
507,27,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,0,jam_max_recovery,14.262,40.9618,9.6424,11,10,0.005542,1.684,0.004489,0.313529,11.3254,1.1912,324.2288,0.0,1.7074,0.004892,0.004892
508,28,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,10.294,32.5275,7.439,0,0,0.004195,3.4462,0.00416,0.314852,11.2683,1.1908,306.6835,0.0,1.6101,0.005638,0.005638
509,29,impedance,waypoint,spiral,gt-noise,6.0,6.0,1.0,1,,10.352,36.5633,8.0378,0,0,0.004123,3.7647,0.004474,0.313449,11.1536,1.1902,309.2637,0.0,1.8134,0.005423,0.005423
510,0,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,10.322,31.248,14.6106,0,0,0.003782,2.0914,0.004249,0.311972,11.1804,1.1946,318.8985,0.0,1.846,0.003687,0.003687
511,1,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,11.768,43.3668,5.5115,3,3,0.004012,4.1392,0.004598,0.313577,11.2306,1.1883,306.9,0.0,2.0144,0.006679,0.006679
512,2,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,10.36,35.8239,5.5751,0,0,0.004507,4.0463,0.00493,0.315042,11.1933,1.1924,309.3234,0.0,1.5366,0.005305,0.005305
