trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time
52,2,osc-lambda,waypoint,spiral,gt,6.0,,1,,10.13,37.7164,6.1967,0,0,0.0025,1.3945
53,3,osc-lambda,waypoint,spiral,gt,6.0,,1,,11.158,40.8616,8.6754,2,2,0.000654,1.5761
54,4,osc-lambda,waypoint,spiral,gt,6.0,,1,,10.078,34.2103,6.2888,0,0,0.002207,1.3932
55,5,osc-lambda,waypoint,spiral,gt,6.0,,1,,11.592,41.3712,20.5168,3,3,0.003783,1.5325
56,6,osc-lambda,waypoint,spiral,gt,6.0,,1,,10.138,33.6668,5.6643,0,0,0.002652,1.4283
57,7,osc-lambda,waypoint,spiral,gt,6.0,,1,,10.102,37.4726,6.2965,0,0,0.003247,1.4149
58,8,osc-lambda,waypoint,spiral,gt,6.0,,1,,10.048,30.8448,6.7389,0,0,0.000556,1.4157
59,9,osc-lambda,waypoint,spiral,gt,6.0,,1,,10.1,28.4188,6.0569,0,0,0.00271,1.3869
60,0,osc-lambda,waypoint,spiral,gt,7.0,,1,,11.604,43.6216,7.2191,3,3,0.00459,1.6821
61,1,osc-lambda,waypoint,spiral,gt,7.0,,1,,11.682,41.2587,5.7786,3,3,0.003766,1.693
62,2,osc-lambda,waypoint,spiral,gt,7.0,,1,,10.13,37.9971,9.8037,0,0,0.003273,1.4114
63,3,osc-lambda,waypoint,spiral,gt,7.0,,1,,11.668,45.6708,6.7295,3,3,0.001965,1.6611
64,4,osc-lambda,waypoint,spiral,gt,7.0,,1,,11.556,42.91,6.4022,3,3,0.004859,1.6399
65,5,osc-lambda,waypoint,spiral,gt,7.0,,1,,12.94,52.5362,10.5421,6,6,0.004642,1.9704
66,6,osc-lambda,waypoint,spiral,gt,7.0,,1,,10.138,37.2773,9.3566,0,0,0.001966,1.3734
67,7,osc-lambda,waypoint,spiral,gt,7.0,,1,,11.62,40.5613,5.7718,3,3,0.004107,1.7052
68,8,osc-lambda,waypoint,spiral,gt,7.0,,1,,12.786,56.0131,10.0604,6,6,0.004757,1.957
69,9,osc-lambda,waypoint,spiral,gt,7.0,,1,,11.628,40.5451,5.5632,3,3,0.004098,1.6775
70,0,osc-lambda,waypoint,spiral,gt,8.0,,0,force_abort_max_recovery,9.404,44.2188,19.9578,11,10,0.009347,1.4207
71,1,osc-lambda,waypoint,spiral,gt,8.0,,1,,11.73,43.3297,8.8787,3,3,0.001482,1.6834
72,2,osc-lambda,waypoint,spiral,gt,8.0,,1,,12.996,44.838,10.5557,6,6,0.00274,1.9027
73,3,osc-lambda,waypoint,spiral,gt,8.0,,1,,13.236,41.7265,10.7588,6,6,0.000643,1.9901
74,4,osc-lambda,waypoint,spiral,gt,8.0,,1,,12.858,46.1187,10.3159,6,6,0.001134,1.8895
75,5,osc-lambda,waypoint,spiral,gt,8.0,,1,,13.462,42.2854,14.394,7,7,0.001572,2.007
76,6,osc-lambda,waypoint,spiral,gt,8.0,,1,,11.612,41.7666,8.6083,3,3,0.002888,1.6399
77,7,osc-lambda,waypoint,spiral,gt,8.0,,1,,11.62,40.4958,8.7855,3,3,0.00121,1.6593
78,8,osc-lambda,waypoint,spiral,gt,8.0,,1,,11.554,42.4525,9.2389,3,3,0.002601,1.671
79,9,osc-lambda,waypoint,spiral,gt,8.0,,1,,13.014,40.4865,9.8944,6,6,0.003129,1.876
80,0,osc-lambda,waypoint,lcs-mpc,gt,5.0,,1,,10.1,33.3557,6.5228,0,0,0.004331,2.5625
81,1,osc-lambda,waypoint,lcs-mpc,gt,5.0,,1,,10.238,28.652,2.3418,0,0,0.003974,2.4775
82,2,osc-lambda,waypoint,lcs-mpc,gt,5.0,,1,,10.154,38.0221,3.4695,0,0,0.003977,2.4393
83,3,osc-lambda,waypoint,lcs-mpc,gt,5.0,,1,,10.192,27.02,5.7268,0,0,0.003917,2.5128
84,4,osc-lambda,waypoint,lcs-mpc,gt,5.0,,1,,10.096,31.9009,3.402,0,0,0.004246,2.4456
85,5,osc-lambda,waypoint,lcs-mpc,gt,5.0,,1,,10.134,30.5677,6.3995,0,0,0.003711,2.5071
86,6,osc-lambda,waypoint,lcs-mpc,gt,5.0,,1,,10.158,28.1879,5.1312,0,0,0.004247,2.5161
87,7,osc-lambda,waypoint,lcs-mpc,gt,5.0,,1,,10.106,30.0823,2.6033,0,0,0.004089,2.3944
88,8,osc-lambda,waypoint,lcs-mpc,gt,5.0,,1,,10.09,27.5974,6.4204,0,0,0.003606,2.5142
89,9,osc-lambda,waypoint,lcs-mpc,gt,5.0,,1,,10.134,31.1059,5.2411,0,0,0.004209,2.5273
90,0,osc-lambda,waypoint,lcs-mpc,gt,6.0,,1,,10.08,37.7333,6.9642,0,0,0.003489,2.4528
91,1,osc-lambda,waypoint,lcs-mpc,gt,6.0,,1,,10.238,34.8272,6.0295,0,0,0.001828,2.4887
92,2,osc-lambda,waypoint,lcs-mpc,gt,6.0,,1,,10.152,37.7772,7.9569,0,0,0.003374,2.4589
93,3,osc-lambda,waypoint,lcs-mpc,gt,6.0,,1,,11.222,40.4468,9.8343,2,2,0.000288,2.773
94,4,osc-lambda,waypoint,lcs-mpc,gt,6.0,,1,,10.084,32.9545,6.8076,0,0,0.002085,2.3789
95,5,osc-lambda,waypoint,lcs-mpc,gt,6.0,,1,,10.118,35.8175,12.1535,0,0,0.000304,2.4074
96,6,osc-lambda,waypoint,lcs-mpc,gt,6.0,,1,,10.158,36.4099,9.8343,0,0,0.004098,2.426
97,7,osc-lambda,waypoint,lcs-mpc,gt,6.0,,1,,11.166,40.1689,8.5127,2,2,0.004491,2.7186
98,8,osc-lambda,waypoint,lcs-mpc,gt,6.0,,1,,11.59,40.6665,20.1746,3,3,0.000778,2.7921
99,9,osc-lambda,waypoint,lcs-mpc,gt,6.0,,1,,10.102,36.9923,6.1434,0,0,0.002559,2.4099
100,0,osc-lambda,waypoint,lcs-mpc,gt,7.0,,1,,10.08,37.3462,10.3009,0,0,0.001924,2.3965
101,1,osc-lambda,waypoint,lcs-mpc,gt,7.0,,1,,11.744,41.9133,6.0458,3,3,0.003929,2.88
102,2,osc-lambda,waypoint,lcs-mpc,gt,7.0,,1,,10.132,39.4205,13.2255,0,0,0.004037,2.4131
103,3,osc-lambda,waypoint,lcs-mpc,gt,7.0,,1,,13.034,52.0614,10.2669,6,6,0.004323,3.4003
104,4,osc-lambda,waypoint,lcs-mpc,gt,7.0,,1,,11.578,44.2108,6.371,3,3,0.004151,2.8754
105,5,osc-lambda,waypoint,lcs-mpc,gt,7.0,,1,,12.994,48.1397,10.6399,6,6,0.004796,3.4173
106,6,osc-lambda,waypoint,lcs-mpc,gt,7.0,,1,,10.138,36.1901,9.2525,0,0,0.001894,2.4208
107,7,osc-lambda,waypoint,lcs-mpc,gt,7.0,,1,,11.64,40.4663,6.3848,3,3,0.004125,2.8724
108,8,osc-lambda,waypoint,lcs-mpc,gt,7.0,,1,,13.028,58.471,11.1496,6,6,0.00468,3.3152
109,9,osc-lambda,waypoint,lcs-mpc,gt,7.0,,1,,13.012,49.8157,8.0396,6,6,0.00467,3.3637
110,0,osc-lambda,waypoint,lcs-mpc,gt,8.0,,1,,11.604,40.2609,13.1696,3,3,0.002879,2.9671
111,1,osc-lambda,waypoint,lcs-mpc,gt,8.0,,1,,11.744,41.965,8.8528,3,3,0.002001,2.9666
112,2,osc-lambda,waypoint,lcs-mpc,gt,8.0,,1,,12.996,41.3676,10.7314,6,6,0.002391,3.2816
113,3,osc-lambda,waypoint,lcs-mpc,gt,8.0,,1,,13.186,43.4995,10.8159,6,6,0.00059,3.4265
114,4,osc-lambda,waypoint,lcs-mpc,gt,8.0,,1,,12.91,57.2415,10.3245,6,6,0.001616,3.2899
115,5,osc-lambda,waypoint,lcs-mpc,gt,8.0,,1,,11.634,40.3041,14.3586,3,3,0.00291,2.9893
116,6,osc-lambda,waypoint,lcs-mpc,gt,8.0,,1,,11.654,43.6475,9.3055,3,3,0.002832,2.9221
117,7,osc-lambda,waypoint,lcs-mpc,gt,8.0,,1,,11.702,40.3787,9.2226,3,3,0.003117,2.8982
118,8,osc-lambda,waypoint,lcs-mpc,gt,8.0,,1,,13.492,63.1984,15.3956,7,7,0.00105,3.4458
119,9,osc-lambda,waypoint,lcs-mpc,gt,8.0,,1,,11.636,41.0155,8.6907,3,3,0.00332,2.8816
