trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time,preinsert_pose_error,path_length,smoothness,max_joint_vel,max_joint_accel,solve_time,initial_contact_force
35,5,impedance,waypoint,none,gt,3.0,,1,,10.112,34.5226,18.4481,0,0,0.002843,1.0622,0.004981,0.312511,11.4071,1.2632,335.8278,0.0,0.0
36,6,impedance,waypoint,none,gt,3.0,,1,,10.138,33.5016,20.1788,0,0,0.002619,1.063,0.004069,0.313279,11.2896,1.1887,309.1408,0.0,0.0
37,7,impedance,waypoint,none,gt,3.0,,1,,10.102,27.8534,16.0134,0,0,0.002688,1.0581,0.004046,0.313338,11.3209,1.3058,321.8601,0.0,0.0
38,8,impedance,waypoint,none,gt,3.0,,1,,10.048,30.8859,14.0095,0,0,0.002826,1.0482,0.00466,0.313667,11.5226,1.3058,316.1514,0.0,0.0
39,9,impedance,waypoint,none,gt,3.0,,1,,10.1,27.5532,15.0794,0,0,0.002572,1.0733,0.004943,0.312324,11.3654,1.2545,313.3576,0.0,0.0
40,10,impedance,waypoint,none,gt,3.0,,1,,10.13,28.716,15.2521,0,0,0.002711,1.0723,0.004262,0.313343,11.2493,1.1924,308.9835,0.0,0.0
41,11,impedance,waypoint,none,gt,3.0,,1,,10.08,34.7205,20.0129,0,0,0.002808,1.0627,0.004372,0.31331,11.1167,1.1944,317.5843,0.0,0.0
42,12,impedance,waypoint,none,gt,3.0,,1,,10.084,36.2956,19.4964,0,0,0.002573,1.0489,0.004257,0.313364,11.3007,1.3056,327.4534,0.0,0.0
43,13,impedance,waypoint,none,gt,3.0,,1,,10.166,39.7873,20.0253,0,0,0.002476,1.0362,0.004693,0.312265,11.3682,1.2601,310.5154,0.0,0.0
44,14,impedance,waypoint,none,gt,3.0,,1,,10.192,28.7789,18.513,0,0,0.003001,1.0752,0.004505,0.313479,11.3911,1.3064,312.9515,0.0,0.0
45,15,impedance,waypoint,none,gt,3.0,,1,,10.11,29.1281,15.5017,0,0,0.002507,1.0395,0.004611,0.312388,11.6428,1.3069,306.4914,0.0,0.0
46,16,impedance,waypoint,none,gt,3.0,,1,,10.126,30.4678,17.2164,0,0,0.002832,1.0342,0.004826,0.312547,11.4171,1.3098,333.8008,0.0,0.0
47,17,impedance,waypoint,none,gt,3.0,,1,,10.096,25.6814,14.1763,0,0,0.003151,1.0938,0.00488,0.312285,11.2875,1.3067,328.8375,0.0,0.0
