trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time,preinsert_pose_error,path_length,smoothness,max_joint_vel,max_joint_accel,solve_time,initial_contact_force
33,3,impedance,waypoint,spiral,gt,8.0,6.0,1,,13.192,41.0494,10.678,6,6,0.001007,1.5293,0.004963,0.313911,11.1761,1.3058,322.9822,0.0,1.6296
34,4,impedance,waypoint,spiral,gt,8.0,6.0,1,,12.832,43.0884,10.4754,6,6,0.001785,1.4665,0.004181,0.314957,11.2742,1.1931,322.7564,0.0,1.5167
35,5,impedance,waypoint,spiral,gt,8.0,6.0,1,,13.404,43.1491,14.3591,7,7,0.00113,1.6409,0.004384,0.315171,11.4575,1.2612,331.7843,0.0,1.5325
36,6,impedance,waypoint,spiral,gt,8.0,6.0,1,,11.59,41.6434,8.5534,3,3,0.002781,1.4393,0.004993,0.313867,11.1563,1.1869,305.087,0.0,1.5828
37,7,impedance,waypoint,spiral,gt,8.0,6.0,1,,11.588,40.5683,8.8612,3,3,0.004262,1.5435,0.004982,0.313917,11.2007,1.3039,317.8113,0.0,1.9615
38,8,impedance,waypoint,spiral,gt,8.0,6.0,1,,11.59,42.5777,9.1878,3,3,0.003039,1.5598,0.004547,0.315294,11.4851,1.304,312.1067,0.0,2.0431
39,9,impedance,waypoint,spiral,gt,8.0,6.0,1,,13.002,40.5648,9.9012,6,6,0.00431,1.7167,0.004013,0.314974,11.4157,1.2527,309.3019,0.0,1.728
40,10,impedance,waypoint,spiral,gt,8.0,6.0,1,,11.634,44.7896,9.5012,3,3,0.003715,1.3651,0.00427,0.314968,11.2046,1.1905,304.9316,0.0,1.8611
41,11,impedance,waypoint,spiral,gt,8.0,6.0,1,,11.592,40.6313,9.0273,3,3,0.001317,1.5709,0.004324,0.314924,11.1222,1.1924,313.539,0.0,1.6178
42,12,impedance,waypoint,spiral,gt,8.0,6.0,1,,12.69,52.2925,10.0941,6,6,0.000442,1.4814,0.004456,0.314987,11.2696,1.3037,323.3993,0.0,1.5301
43,13,impedance,waypoint,spiral,gt,8.0,6.0,1,,11.676,40.8966,8.7661,3,3,0.002204,1.3985,0.004852,0.313866,11.2115,1.2583,306.4557,0.0,1.5215
44,14,impedance,waypoint,spiral,gt,8.0,6.0,1,,11.632,44.3694,9.8764,3,3,0.002698,1.4223,0.004236,0.315103,11.3434,1.3046,308.9102,0.0,1.5525
45,15,impedance,waypoint,spiral,gt,8.0,6.0,1,,11.59,40.26,10.2138,3,3,0.00269,1.5018,0.00436,0.314011,11.6023,1.3051,302.4313,0.0,1.6517
46,16,impedance,waypoint,spiral,gt,8.0,6.0,1,,12.954,66.6811,10.83,6,6,0.00287,1.554,0.004387,0.315202,11.4752,1.3078,329.7557,0.0,1.656
47,17,impedance,waypoint,spiral,gt,8.0,6.0,1,,12.826,44.8647,9.3618,6,6,0.004963,1.4775,0.004919,0.313911,11.258,1.3047,324.7847,0.0,1.5253
48,18,impedance,waypoint,spiral,gt,8.0,6.0,1,,13.4,46.9689,11.9376,7,7,0.001749,1.6419,0.004085,0.314836,11.2859,1.2597,304.9323,0.0,1.5418
49,19,impedance,waypoint,spiral,gt,8.0,6.0,1,,12.956,45.5129,10.4633,6,6,0.001083,1.5307,0.004949,0.314003,11.254,1.305,326.0951,0.0,1.5107
50,20,impedance,waypoint,spiral,gt,8.0,6.0,1,,13.204,53.3727,14.0953,6,6,0.00112,1.6529,0.004426,0.315249,11.5622,1.3028,317.2409,0.0,2.0282
51,21,impedance,waypoint,spiral,gt,8.0,6.0,1,,13.0,42.0166,10.9736,6,6,0.000556,1.5722,0.004339,0.315105,11.3578,1.3041,293.2066,0.0,1.597
52,22,impedance,waypoint,spiral,gt,8.0,6.0,1,,11.37,41.6534,9.3413,3,3,0.004137,1.366,0.004925,0.313731,11.0806,1.3048,312.6228,0.0,1.5484
53,23,impedance,waypoint,spiral,gt,8.0,6.0,1,,12.89,49.6733,11.0055,6,6,0.001559,1.5627,0.004577,0.315021,11.1389,1.3041,305.1926,0.0,1.5701
54,24,impedance,waypoint,spiral,gt,8.0,6.0,1,,12.996,43.9381,9.9632,6,6,0.004226,1.569,0.004801,0.31385,11.2723,1.2532,325.2643,0.0,1.6057
55,25,impedance,waypoint,spiral,gt,8.0,6.0,1,,13.478,59.4149,15.11,7,7,0.002121,1.659,0.004402,0.315144,11.3828,1.1904,298.1768,0.0,1.6738
56,26,impedance,waypoint,spiral,gt,8.0,6.0,1,,11.59,40.8017,8.4404,3,3,0.004044,1.321,0.004332,0.314953,11.2108,1.255,307.3324,0.0,1.6584
57,27,impedance,waypoint,spiral,gt,8.0,6.0,1,,11.596,40.7893,8.4597,3,3,0.000521,1.3055,0.00492,0.313957,11.2832,1.3063,330.4205,0.0,1.7315
58,28,impedance,waypoint,spiral,gt,8.0,6.0,1,,11.562,40.4697,10.293,3,3,0.00283,1.3795,0.004973,0.313819,11.1054,1.3061,314.7491,0.0,1.5934
59,29,impedance,waypoint,spiral,gt,8.0,6.0,1,,11.7,44.7892,8.1378,3,3,0.002211,1.3811,0.004915,0.313813,11.1263,1.1915,301.4212,0.0,1.5492
60,0,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,14.014,40.5552,18.8756,3,3,0.003883,1.69,0.004917,0.320323,4.1249,1.0129,294.2725,159.6106,1.6294
61,1,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.666,34.8553,6.048,0,0,0.001363,1.4829,0.004969,0.320346,4.0881,1.0991,292.1578,25.4595,1.6627
62,2,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.586,37.2599,6.1693,0,0,0.002741,1.403,0.004775,0.320305,3.9498,0.9803,273.4344,25.1772,1.5076
63,3,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,13.632,40.4819,8.6661,2,2,0.000685,1.5547,0.004937,0.320374,4.0631,1.0184,285.9898,24.7356,1.8532
64,4,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.524,34.6368,6.2708,0,0,0.002208,1.4174,0.004951,0.320502,4.078,1.1053,287.174,25.4719,1.9912
65,5,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,13.996,41.5982,20.5895,3,3,0.003805,1.4931,0.004958,0.32086,4.1131,0.9937,300.4985,24.6651,1.6145
66,6,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.57,33.7749,5.6508,0,0,0.003882,1.4354,0.004768,0.32046,3.963,1.0982,270.2861,25.0149,1.97
67,7,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.54,37.3539,6.3127,0,0,0.001789,1.4736,0.004992,0.320572,3.9665,1.0145,286.2742,25.4159,1.5226
68,8,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.498,30.6351,6.6915,0,0,0.003434,1.4158,0.004952,0.321173,4.1604,1.0348,281.1035,25.0022,1.6476
69,9,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.538,28.7554,6.105,0,0,0.00263,1.4866,0.004933,0.320454,3.9555,0.9539,270.0614,25.6987,2.2241
70,10,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.58,36.304,6.8436,0,0,0.004181,1.5156,0.004867,0.320599,3.9673,1.107,274.8281,26.89,1.6433
71,11,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.504,36.2648,6.623,0,0,0.001243,1.4613,0.004791,0.320688,3.9072,1.1081,280.3941,26.0074,1.6352
72,12,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.522,35.4981,9.4409,0,0,0.002603,1.4155,0.004889,0.32041,4.0885,1.0167,286.212,25.2009,1.6833
73,13,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.616,32.4774,6.1521,0,0,0.001543,1.4602,0.004767,0.320165,4.0905,0.9832,274.556,25.31,1.6583
74,14,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.618,32.7276,7.4628,0,0,0.002756,1.4956,0.004747,0.321127,4.0885,1.021,272.1561,26.7513,1.7943
75,15,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.556,33.1303,7.9944,0,0,0.002183,1.4887,0.004793,0.320081,4.1258,1.0991,267.887,26.064,1.821
76,16,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.578,36.9156,6.9186,0,0,0.002502,1.4852,0.004658,0.321035,4.0679,1.0116,294.4274,25.1718,1.8999
77,17,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.524,38.2747,6.6035,0,0,0.002952,1.4572,0.004744,0.32056,4.0949,1.0151,292.0233,26.052,1.5661
78,18,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,14.056,40.6624,18.7315,3,3,0.003959,1.582,0.004933,0.319951,4.0783,0.9769,271.1843,25.3348,1.6284
79,19,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.63,30.9721,7.901,0,0,0.001366,1.4852,0.004783,0.320827,4.0489,1.0092,289.0276,26.6809,1.9073
80,20,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,13.65,41.1962,12.3574,2,2,0.002432,1.6293,0.004842,0.320968,4.1689,1.0678,284.2706,24.9878,1.8806
81,21,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.58,35.2631,6.3615,0,0,0.004271,1.4163,0.004865,0.320763,4.1243,1.0382,253.0894,25.291,1.876
82,22,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.476,34.5664,7.496,0,0,0.001724,1.4539,0.004963,0.320048,4.0007,1.0222,277.8131,24.437,1.5123
83,23,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.528,32.1928,5.9251,0,0,0.002991,1.4214,0.004941,0.320911,3.9429,1.0077,267.3794,24.7977,1.6251
84,24,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.576,25.5541,5.5606,0,0,0.002807,1.5279,0.00469,0.320164,4.0753,0.9808,287.6582,26.3927,1.5048
85,25,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.63,39.162,11.8675,0,0,0.002189,1.5627,0.004901,0.320897,4.1944,1.1054,259.5896,26.1394,1.5906
86,26,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.582,38.1971,5.8064,0,0,0.003838,1.5013,0.004716,0.320657,3.9731,0.9832,271.6045,26.5648,1.5311
87,27,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.532,34.091,5.7353,0,0,0.000445,1.4535,0.004877,0.320378,4.0623,1.0128,295.9203,24.9121,1.7938
88,28,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.478,36.4428,7.9963,0,0,0.0008,1.4342,0.004949,0.320177,3.9026,1.0159,280.9341,24.4931,1.5921
89,29,impedance,ee-ocp,spiral,gt,6.0,6.0,1,,12.644,35.1259,5.1355,0,0,0.002224,1.5508,0.004871,0.320219,3.9503,1.1064,267.4254,26.4932,2.0249
90,0,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,15.292,44.659,10.3795,6,6,0.003257,1.8298,0.004924,0.320999,4.1301,1.0132,293.0436,25.6896,1.6053
91,1,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,14.158,41.1344,8.6972,3,3,0.001895,1.6322,0.004975,0.321017,4.0926,1.0994,290.9289,25.2354,1.659
92,2,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,15.366,46.5717,10.5979,6,6,0.002632,1.7781,0.004781,0.320978,3.9525,0.9811,272.2123,24.636,1.5128
93,3,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,15.666,40.6257,10.6911,6,6,0.00105,1.8966,0.004944,0.32105,4.0684,1.0187,284.8763,24.862,1.8561
94,4,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,15.352,43.0575,10.3589,6,6,0.000945,1.7984,0.004957,0.321177,4.0824,1.1057,285.8945,25.1104,1.9962
95,5,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,15.868,44.3921,14.4534,7,7,0.001737,1.9884,0.004965,0.321533,4.1174,0.9937,299.2557,26.0964,1.6193
96,6,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,14.056,44.6117,8.4725,3,3,0.003999,1.6468,0.004774,0.321131,3.9657,1.0986,269.0573,24.1256,1.9724
97,7,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,14.034,40.6624,8.8881,3,3,0.001862,1.6442,0.004999,0.321285,4.0349,1.0182,285.0471,25.4398,1.5364
98,8,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,13.982,41.6042,9.2023,3,3,0.003016,1.6986,0.004959,0.321847,4.1622,1.0348,279.8784,26.5177,1.6495
99,9,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,14.058,41.2107,8.926,3,3,0.00229,1.6934,0.00494,0.321124,3.9581,0.9547,268.8284,25.7895,2.2307
100,10,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,15.758,59.8945,11.1949,7,7,0.003193,1.9519,0.004874,0.32127,3.97,1.1075,273.6015,25.5559,1.6713
101,11,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,14.01,40.7333,9.1375,3,3,0.0003,1.6886,0.004797,0.321362,3.9108,1.1085,279.1693,25.6895,1.5045
102,12,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,15.188,47.2161,10.0596,6,6,0.001515,1.7988,0.004896,0.32108,4.0933,1.017,284.9935,25.8436,1.687
103,13,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,14.15,40.6574,8.4921,3,3,0.002657,1.6812,0.004774,0.320836,4.0922,0.984,273.3187,25.1871,1.5237
104,14,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,14.126,42.0773,9.8008,3,3,0.00283,1.7001,0.004754,0.321804,4.0903,1.0213,270.9325,25.4852,1.797
105,15,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,14.054,44.0654,10.5009,3,3,0.002448,1.7245,0.004799,0.320757,4.1287,1.0991,266.7634,28.0358,1.8243
106,16,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,15.39,42.7739,10.8498,6,6,0.002226,1.9256,0.004664,0.321711,4.0729,1.0118,293.1794,24.03,1.5674
107,17,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,13.996,44.2342,8.7329,3,3,0.004333,1.6772,0.00475,0.321236,4.0993,1.0154,290.7972,26.4856,1.6386
108,18,impedance,ee-ocp,spiral,gt,8.0,6.0,0,force_abort_max_recovery,11.768,43.2356,19.4157,11,10,0.009367,1.4675,0.00494,0.320622,4.0802,0.9777,269.9412,24.8634,1.5039
109,19,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,15.43,44.7267,10.427,6,6,0.001635,1.8199,0.004789,0.321501,4.054,1.0095,287.8008,24.4238,1.9096
110,20,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,15.624,40.7267,14.0678,6,6,0.001421,1.877,0.004849,0.321644,4.171,1.0678,283.0393,24.6753,1.879
111,21,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,15.514,40.9254,10.8478,6,6,0.000623,1.8239,0.004871,0.321449,4.0529,1.0382,251.8619,24.8996,1.8422
112,22,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,13.936,42.11,10.065,3,3,0.000843,1.6252,0.004969,0.320718,3.9979,1.0227,276.5787,24.9409,1.5123
113,23,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,15.28,52.3294,10.3211,6,6,0.001477,1.7693,0.004947,0.321584,3.9457,1.0081,266.1441,24.1531,1.6296
114,24,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,15.46,43.4305,10.2579,6,6,0.002967,1.8172,0.004697,0.320839,4.08,0.9808,286.4492,24.863,1.5083
115,25,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,16.004,62.3136,14.8951,7,7,0.002613,1.9008,0.004908,0.321569,4.1494,1.1058,258.3704,25.6469,1.595
116,26,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,14.04,40.6312,8.4431,3,3,0.004007,1.6634,0.004723,0.321327,3.9756,0.984,270.3711,24.7308,1.5362
117,27,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,14.07,40.6305,8.4064,3,3,0.001224,1.631,0.004884,0.321049,4.0672,1.0131,294.6856,24.8876,1.5295
118,28,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,14.012,40.4296,10.2459,3,3,0.002633,1.6794,0.004955,0.320849,3.9062,1.0162,279.7058,25.1862,1.5949
119,29,impedance,ee-ocp,spiral,gt,8.0,6.0,1,,14.136,42.0142,7.9766,3,3,0.002353,1.7208,0.004877,0.320889,3.9531,1.1068,266.1895,25.8497,2.0308
