trial_id,seed,controller,planner,contact,perception,offset_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time
59,9,impedance,waypoint,none,gt,3,1,,10.1,27.5532,15.0794,0,0,0.002572,1.1103
60,0,impedance,waypoint,none,gt,6,0,force_abort,4.474,40.0896,19.6909,1,0,0.006476,0.5356
61,1,impedance,waypoint,none,gt,6,1,,10.232,38.8225,6.1004,0,0,0.002132,1.2388
62,2,impedance,waypoint,none,gt,6,1,,10.13,37.7306,6.1834,0,0,0.002505,1.2055
63,3,impedance,waypoint,none,gt,6,0,force_abort,4.55,40.1116,20.7201,1,0,0.00635,0.5397
64,4,impedance,waypoint,none,gt,6,1,,10.078,34.226,6.2748,0,0,0.002208,1.1922
65,5,impedance,waypoint,none,gt,6,1,,10.112,38.7858,11.5296,0,0,0.002621,1.2865
66,6,impedance,waypoint,none,gt,6,1,,10.138,33.6795,5.656,0,0,0.002644,1.1993
67,7,impedance,waypoint,none,gt,6,1,,10.086,37.5129,6.2782,0,0,0.002764,1.1936
68,8,impedance,waypoint,none,gt,6,1,,10.048,31.1922,6.7314,0,0,0.000557,1.2034
69,9,impedance,waypoint,none,gt,6,1,,10.1,28.4549,6.1059,0,0,0.002705,1.2308
70,0,impedance,waypoint,none,gt,9,0,force_abort,4.488,40.282,19.4443,1,0,0.009415,0.5309
71,1,impedance,waypoint,none,gt,9,0,force_abort,4.596,40.0226,20.3718,1,0,0.009117,0.5369
72,2,impedance,waypoint,none,gt,9,0,force_abort,4.602,43.1547,21.1171,1,0,0.009219,0.5431
73,3,impedance,waypoint,none,gt,9,0,force_abort,4.554,40.0763,20.9138,1,0,0.009344,0.5347
74,4,impedance,waypoint,none,gt,9,0,force_abort,4.502,40.4428,19.8975,1,0,0.009228,0.5308
75,5,impedance,waypoint,none,gt,9,0,force_abort,4.598,40.1796,22.2385,1,0,0.009536,0.5362
