trial_id,seed,controller,planner,contact,perception,offset_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time
54,4,osc-lambda,waypoint,spiral,gt,3.0,1,,10.078,29.3249,16.4479,0,0,0.00289,1.3779
55,5,osc-lambda,waypoint,spiral,gt,3.0,1,,10.112,34.5036,18.4376,0,0,0.00285,1.5073
56,6,osc-lambda,waypoint,spiral,gt,3.0,1,,10.138,33.4717,20.4911,0,0,0.002626,1.4313
57,7,osc-lambda,waypoint,spiral,gt,3.0,1,,10.102,29.3452,16.7083,0,0,0.002691,1.429
58,8,osc-lambda,waypoint,spiral,gt,3.0,1,,10.048,30.3679,13.8752,0,0,0.002831,1.5198
59,9,osc-lambda,waypoint,spiral,gt,3.0,1,,10.1,27.4857,15.0717,0,0,0.002577,1.451
60,0,osc-lambda,waypoint,spiral,gt,6.0,1,,11.52,40.8034,19.024,3,3,0.003819,1.7217
61,1,osc-lambda,waypoint,spiral,gt,6.0,1,,10.232,38.805,6.1172,0,0,0.002136,1.5597
62,2,osc-lambda,waypoint,spiral,gt,6.0,1,,10.13,37.7164,6.1967,0,0,0.0025,1.4845
63,3,osc-lambda,waypoint,spiral,gt,6.0,1,,11.158,40.8616,8.6754,2,2,0.000654,1.7208
64,4,osc-lambda,waypoint,spiral,gt,6.0,1,,10.078,34.2103,6.2888,0,0,0.002207,1.5053
65,5,osc-lambda,waypoint,spiral,gt,6.0,1,,11.592,41.3712,20.5168,3,3,0.003783,1.6724
66,6,osc-lambda,waypoint,spiral,gt,6.0,1,,10.138,33.6668,5.6643,0,0,0.002652,1.4961
67,7,osc-lambda,waypoint,spiral,gt,6.0,1,,10.102,37.4726,6.2965,0,0,0.003247,1.4911
68,8,osc-lambda,waypoint,spiral,gt,6.0,1,,10.048,30.8448,6.7389,0,0,0.000556,1.4966
69,9,osc-lambda,waypoint,spiral,gt,6.0,1,,10.1,28.4188,6.0569,0,0,0.00271,1.5165
70,0,osc-lambda,waypoint,spiral,gt,9.0,0,force_abort_max_recovery,9.46,73.4246,20.8225,11,10,0.010195,1.5517
71,1,osc-lambda,waypoint,spiral,gt,9.0,0,force_abort_max_recovery,9.582,64.4791,21.0911,11,10,0.010017,1.5652
72,2,osc-lambda,waypoint,spiral,gt,9.0,0,force_abort_max_recovery,9.402,45.5819,21.7952,11,10,0.010066,1.5287
73,3,osc-lambda,waypoint,spiral,gt,9.0,0,force_abort_max_recovery,9.602,64.1585,21.9401,11,10,0.010105,1.6101
74,4,osc-lambda,waypoint,spiral,gt,9.0,0,force_abort_max_recovery,9.47,46.3357,20.6407,11,10,0.010142,1.5156
75,5,osc-lambda,waypoint,spiral,gt,9.0,0,force_abort_max_recovery,9.516,64.4495,21.9252,11,10,0.010347,1.5276
76,6,osc-lambda,waypoint,spiral,gt,9.0,1,,12.878,67.6244,12.3638,6,6,0.000894,1.9497
77,7,osc-lambda,waypoint,spiral,gt,9.0,0,force_abort_max_recovery,9.458,40.5941,20.7906,11,10,0.010067,1.5533
78,8,osc-lambda,waypoint,spiral,gt,9.0,0,force_abort_max_recovery,9.49,76.5732,21.5987,11,10,0.010406,1.5779
79,9,osc-lambda,waypoint,spiral,gt,9.0,0,force_abort_max_recovery,9.356,46.8876,20.9191,11,10,0.010059,1.7777
80,0,osc-lambda,waypoint,lcs-mpc,gt,0.0,1,,10.1,32.26,16.8666,0,0,0.0003,4.2563
81,1,osc-lambda,waypoint,lcs-mpc,gt,0.0,1,,10.258,41.007,20.471,0,0,0.00021,2.7623
82,2,osc-lambda,waypoint,lcs-mpc,gt,0.0,1,,10.154,36.3043,23.569,0,0,0.000445,2.8029
83,3,osc-lambda,waypoint,lcs-mpc,gt,0.0,1,,10.19,35.7006,23.0467,0,0,3e-05,2.9397
84,4,osc-lambda,waypoint,lcs-mpc,gt,0.0,1,,10.084,29.9054,17.3247,0,0,0.000581,2.6872
85,5,osc-lambda,waypoint,lcs-mpc,gt,0.0,1,,10.112,36.2137,18.3797,0,0,8.6e-05,2.7718
86,6,osc-lambda,waypoint,lcs-mpc,gt,0.0,1,,10.158,37.0186,21.4496,0,0,0.000288,2.5421
87,7,osc-lambda,waypoint,lcs-mpc,gt,0.0,1,,10.118,31.6156,17.5835,0,0,0.000533,2.6421
88,8,osc-lambda,waypoint,lcs-mpc,gt,0.0,1,,10.09,32.9476,20.4145,0,0,0.000401,2.6809
89,9,osc-lambda,waypoint,lcs-mpc,gt,0.0,1,,10.134,32.2304,18.0023,0,0,0.000429,2.6232
90,0,osc-lambda,waypoint,lcs-mpc,gt,3.0,1,,10.1,29.4532,17.0999,0,0,0.002988,2.5945
91,1,osc-lambda,waypoint,lcs-mpc,gt,3.0,1,,10.258,40.4772,20.8198,0,0,0.002793,2.4974
92,2,osc-lambda,waypoint,lcs-mpc,gt,3.0,1,,10.154,40.8497,24.272,0,0,0.002851,2.4675
93,3,osc-lambda,waypoint,lcs-mpc,gt,3.0,1,,10.19,35.7004,22.9956,0,0,0.002977,2.7129
94,4,osc-lambda,waypoint,lcs-mpc,gt,3.0,1,,10.084,36.074,17.585,0,0,0.002866,2.6158
95,5,osc-lambda,waypoint,lcs-mpc,gt,3.0,1,,10.134,30.3922,16.1622,0,0,0.003089,2.5031
96,6,osc-lambda,waypoint,lcs-mpc,gt,3.0,1,,10.158,37.0088,21.6532,0,0,0.002856,2.588
97,7,osc-lambda,waypoint,lcs-mpc,gt,3.0,1,,10.106,27.4616,15.5489,0,0,0.002721,2.7151
98,8,osc-lambda,waypoint,lcs-mpc,gt,3.0,1,,10.09,36.2148,20.8686,0,0,0.003146,2.5718
99,9,osc-lambda,waypoint,lcs-mpc,gt,3.0,1,,10.134,32.2085,17.8087,0,0,0.002757,2.5815
100,0,osc-lambda,waypoint,lcs-mpc,gt,6.0,1,,10.08,37.7333,6.9642,0,0,0.003489,2.654
101,1,osc-lambda,waypoint,lcs-mpc,gt,6.0,1,,10.238,34.8272,6.0295,0,0,0.001828,2.6988
102,2,osc-lambda,waypoint,lcs-mpc,gt,6.0,1,,10.152,37.7772,7.9569,0,0,0.003374,2.6792
103,3,osc-lambda,waypoint,lcs-mpc,gt,6.0,1,,11.222,40.4468,9.8343,2,2,0.000288,3.0219
104,4,osc-lambda,waypoint,lcs-mpc,gt,6.0,1,,10.084,32.9545,6.8076,0,0,0.002085,2.739
105,5,osc-lambda,waypoint,lcs-mpc,gt,6.0,1,,10.118,35.8175,12.1535,0,0,0.000304,2.7262
106,6,osc-lambda,waypoint,lcs-mpc,gt,6.0,1,,10.158,36.4099,9.8343,0,0,0.004098,2.6389
107,7,osc-lambda,waypoint,lcs-mpc,gt,6.0,1,,11.166,40.1689,8.5127,2,2,0.004491,2.9551
108,8,osc-lambda,waypoint,lcs-mpc,gt,6.0,1,,11.59,40.6665,20.1746,3,3,0.000778,2.9498
109,9,osc-lambda,waypoint,lcs-mpc,gt,6.0,1,,10.102,36.9923,6.1434,0,0,0.002559,2.6423
110,0,osc-lambda,waypoint,lcs-mpc,gt,9.0,0,force_abort_max_recovery,9.396,42.9283,20.1355,11,10,0.010395,2.5958
111,1,osc-lambda,waypoint,lcs-mpc,gt,9.0,0,force_abort_max_recovery,9.492,60.4967,20.9947,11,10,0.010117,2.6534
112,2,osc-lambda,waypoint,lcs-mpc,gt,9.0,0,force_abort_max_recovery,9.322,46.6966,20.4218,11,10,0.010163,2.5877
113,3,osc-lambda,waypoint,lcs-mpc,gt,9.0,0,force_abort_max_recovery,9.796,72.8314,22.0479,11,10,0.010167,2.778
114,4,osc-lambda,waypoint,lcs-mpc,gt,9.0,1,,11.508,42.7138,11.5221,3,3,0.002085,3.1903
115,5,osc-lambda,waypoint,lcs-mpc,gt,9.0,1,,13.078,58.4882,18.5938,6,6,0.001256,3.7699
116,6,osc-lambda,waypoint,lcs-mpc,gt,9.0,0,force_abort_max_recovery,9.47,56.9183,20.7894,11,10,0.010277,2.6087
117,7,osc-lambda,waypoint,lcs-mpc,gt,9.0,0,force_abort_max_recovery,9.702,42.847,21.1176,11,10,0.010259,2.7399
118,8,osc-lambda,waypoint,lcs-mpc,gt,9.0,0,force_abort_max_recovery,9.558,63.6411,21.7249,11,10,0.010475,2.717
119,9,osc-lambda,waypoint,lcs-mpc,gt,9.0,0,force_abort_max_recovery,9.508,50.1279,21.4074,11,10,0.010122,2.721
